report_date,report_year,report_week,CFTC_Contract_Market_Code,CFTC_Market_Code,Market_and_Exchange_Names,Open_Interest_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Swap_Positions_Long_All,Swap_Positions_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All
2019-12-31,2019,1,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,524777,102855,75585,19.6,14.4,50850,133109,9.7,25.4,78987,10965,15.1,2.1
2019-12-24,2019,52,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,516306,97987,78838,19.0,15.3,47485,125464,9.2,24.3,81802,9477,15.8,1.8
2019-12-17,2019,51,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,513996,100043,75301,19.5,14.7,44707,126273,8.7,24.6,77633,10322,15.1,2.0
2019-12-10,2019,50,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,466224,87809,76206,18.8,16.3,40074,116512,8.6,25.0,81694,9035,17.5,1.9
2019-12-03,2019,49,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,450615,88748,68181,19.7,15.1,37713,116264,8.4,25.8,75983,10771,16.9,2.4
2019-11-26,2019,48,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,433889,78847,68372,18.2,15.8,38995,110681,9.0,25.5,77939,9178,18.0,2.1
2019-11-19,2019,47,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,499389,75513,77562,15.1,15.5,61503,113438,12.3,22.7,74320,9886,14.9,2.0
2019-11-12,2019,46,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,527940,75080,74689,14.2,14.1,58774,112129,11.1,21.2,71831,10740,13.6,2.0
2019-11-05,2019,45,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,525413,70017,70671,13.3,13.5,51790,108817,9.9,20.7,71668,9292,13.6,1.8
2019-10-29,2019,44,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,518097,71584,66542,13.8,12.8,49696,109036,9.6,21.0,66823,8875,12.9,1.7
2019-10-22,2019,43,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,541212,79531,67432,14.7,12.5,49896,110901,9.2,20.5,63602,9386,11.8,1.7
2019-10-15,2019,42,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,516692,72563,83127,14.0,16.1,50604,95487,9.8,18.5,69287,7430,13.4,1.4
2019-10-08,2019,41,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,492001,72951,92089,14.8,18.7,50634,88920,10.3,18.1,66079,5564,13.4,1.1
2019-10-01,2019,40,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,468623,68809,90323,14.7,19.3,42419,86636,9.1,18.5,64023,5198,13.7,1.1
2019-09-24,2019,39,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,446663,71168,89947,15.9,20.1,35904,82803,8.0,18.5,65664,8226,14.7,1.8
2019-09-17,2019,38,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,458093,76303,88880,16.7,19.4,39797,88263,8.7,19.3,65368,7907,14.3,1.7
2019-09-10,2019,37,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,465009,76930,91319,16.5,19.6,40045,86781,8.6,18.7,66551,8782,14.3,1.9
2019-09-03,2019,36,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,448721,70046,91083,15.6,20.3,39667,84402,8.8,18.8,72329,8741,16.1,1.9
2019-08-27,2019,35,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,445985,76086,79142,17.1,17.7,42264,100146,9.5,22.5,66614,6651,14.9,1.5
2019-08-20,2019,34,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,526773,73496,74745,14.0,14.2,58642,112341,11.1,21.3,64559,8457,12.3,1.6
2019-08-13,2019,33,001602,CBT,WHEAT-SRW - CHICAGO BOARD OF TRADE,522159,75589,71501,14.5,13.7,50252,109114,9.6,20.9,65180,10365,12.5,2.0
